Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
5187000,1.2670121,9.912414,None,None,None,1.0
5188000,1.1871872,9.937975,None,None,None,1.0
5189000,1.2700269,9.941233,None,None,None,1.0
5190000,1.234885,9.935581,None,None,None,1.0
5191000,1.1330705,9.962488,None,None,None,1.0
5192000,1.1193873,9.971676,None,None,None,1.0
5193000,1.1989161,9.931196,None,None,None,1.0
5194000,1.1379149,9.926851,None,None,None,1.0
5195000,1.082314,9.962622,None,None,None,1.0
5196000,1.2168217,9.964311,None,None,None,1.0
5197000,1.2872584,9.958222,None,None,None,1.0
5198000,1.2533801,9.956454,None,None,None,1.0
5199000,1.3318999,9.963392,None,None,None,1.0
5200000,1.2401068,9.95879,None,None,None,1.0
5201000,1.1821741,9.958064,None,None,None,1.0
5202000,1.1707547,9.959818,None,None,None,1.0
5203000,1.2220006,9.569868,4216.0,420.7000617980957,420.7000617980957,1.0
5204000,1.1916912,9.9834795,None,None,None,1.0
5205000,1.2055179,9.980546,None,None,None,1.0
5206000,1.2424029,9.983471,None,None,None,1.0
5207000,1.2385817,9.983591,None,None,None,1.0
5208000,1.2421817,9.990738,None,None,None,1.0
5209000,1.1103944,9.973888,None,None,None,1.0
5210000,1.2254392,9.977659,None,None,None,1.0
5211000,1.2256862,9.985659,None,None,None,1.0
5212000,1.2341386,9.980987,None,None,None,1.0
5213000,1.1164224,9.967621,None,None,None,1.0
5214000,1.2476788,9.978319,None,None,None,1.0
5215000,1.224444,9.968422,None,None,None,1.0
5216000,1.2781386,9.946229,None,None,None,1.0
5217000,1.3273181,9.958659,None,None,None,1.0
5218000,1.3763379,9.951169,None,None,None,1.0
5219000,1.2645111,9.948005,None,None,None,1.0
5220000,1.074346,9.957119,None,None,None,1.0
5221000,1.0684541,9.954759,None,None,None,1.0
5222000,1.072972,9.934357,None,None,None,1.0
5223000,1.222468,9.955418,None,None,None,1.0
5224000,1.144111,9.952839,3214.0,None,None,1.0
5225000,1.1757655,9.330727,None,320.44004821777344,320.44004821777344,1.0
5226000,1.0718732,9.9558325,None,None,None,1.0
5227000,1.1508412,9.929685,None,None,None,1.0
5228000,1.1832825,9.955641,None,None,None,1.0
5229000,1.2909607,9.466871,None,None,None,1.0
5230000,1.3098668,9.984258,None,None,None,1.0
5231000,1.2329497,4.2281394,3608.5,401.28006076812744,401.28006076812744,1.0
5232000,1.3183067,9.12499,None,318.5200481414795,318.5200481414795,1.0
5233000,1.1191136,9.984634,None,None,None,1.0
5234000,1.0329344,9.961313,None,None,None,1.0
5235000,1.0677897,9.98102,None,None,None,1.0
5236000,1.1717148,9.805397,3621.0,361.16004943847656,361.16004943847656,1.0
5237000,1.1157954,9.984769,None,None,None,1.0
5238000,1.2210612,9.9976635,None,None,None,1.0
5239000,1.1478966,9.972205,2847.0,None,None,1.0
5240000,1.2124069,9.498179,3472.0,283.80003356933594,283.80003356933594,1.0
5241000,1.2212837,9.319829,3434.3333333333335,346.2800483703613,346.2800483703613,1.0
5242000,1.1615381,8.653361,None,334.37004566192627,334.37004566192627,1.0
5243000,1.279289,8.784468,3312.0,344.4400463104248,344.4400463104248,1.0
5244000,1.2269179,9.916383,None,None,None,1.0
5245000,1.1972871,9.896754,None,None,None,1.0
5246000,1.2409272,9.9313345,3507.0,None,None,1.0
5247000,1.2825252,9.499779,None,349.7200469970703,349.7200469970703,1.0
5248000,1.3285128,9.95109,None,None,None,1.0
5249000,1.285109,9.887294,None,None,None,1.0
5250000,1.3394984,9.923027,None,None,None,1.0
5251000,1.281278,9.961222,2954.0,None,None,1.0
5252000,1.2148142,9.383775,None,294.42003631591797,294.42003631591797,1.0
5253000,1.2370719,9.431187,3535.5,351.92004776000977,351.92004776000977,1.0
5254000,1.2487628,9.326996,3627.0,357.5000457763672,357.5000457763672,1.0
5255000,1.1274366,9.948393,3801.0,None,None,1.0
5256000,1.222365,9.082717,None,379.16004943847656,379.16004943847656,1.0
5257000,1.2288239,9.908561,None,None,None,1.0
5258000,1.3048292,9.837553,None,None,None,1.0
5259000,1.3204498,9.848123,None,None,None,1.0
5260000,1.2752544,9.806733,3649.0,None,None,1.0
5261000,1.2061528,9.149389,3979.0,363.9800453186035,363.9800453186035,1.0
5262000,1.2661142,7.8026495,4124.0,404.2000560760498,404.2000560760498,1.0
5263000,1.2466958,9.965784,None,None,None,1.0
5264000,1.3079779,8.702566,4062.0,417.2600631713867,417.2600631713867,1.0
5265000,1.2968639,9.426278,None,393.2600555419922,393.2600555419922,1.0
5266000,1.2522752,9.8381195,None,None,None,1.0
5267000,1.2127024,9.848741,None,None,None,1.0
5268000,1.2371349,9.684217,None,None,None,1.0
5269000,1.2793903,9.06763,3381.0,337.1200485229492,337.1200485229492,1.0
5270000,1.3210863,8.449237,3923.0,403.2000608444214,403.2000608444214,1.0
5271000,1.3356632,8.931232,3647.0,379.5800476074219,379.5800476074219,1.0
5272000,1.3038238,9.024382,None,363.80004501342773,363.80004501342773,1.0
5273000,1.2782063,8.076116,3995.5,411.82006072998047,411.82006072998047,1.0
5274000,1.3561678,9.27379,None,385.32005310058594,385.32005310058594,1.0
5275000,1.255067,9.809423,None,None,None,1.0
5276000,1.2510694,9.561268,4466.0,445.64006423950195,445.64006423950195,1.0
5277000,1.280612,9.845591,4610.0,None,None,1.0
5278000,1.2777219,8.420942,None,449.2600631713867,449.2600631713867,1.0
5279000,1.2764233,9.870869,None,None,None,1.0
5280000,1.254445,9.889416,None,None,None,1.0
5281000,1.2775298,9.616426,None,470.88006591796875,470.88006591796875,1.0
5282000,1.3231809,9.861872,None,None,None,1.0
5283000,1.3218404,9.7353325,None,None,None,1.0
5284000,1.2806871,9.899148,None,None,None,1.0
5285000,1.312021,9.791478,None,None,None,1.0
5286000,1.368684,9.686243,None,None,None,1.0
5287000,1.2660607,9.575592,None,None,None,1.0
5288000,1.2675054,7.6130013,4388.0,437.88006138801575,437.88006138801575,1.0
5289000,1.2803717,9.865383,None,None,None,1.0
5290000,1.2945368,9.865809,4332.0,None,None,1.0
5291000,1.3835435,9.55872,None,432.2200622558594,432.2200622558594,1.0
5292000,1.2911671,9.932539,None,None,None,1.0
5293000,1.280625,9.934955,None,None,None,1.0
5294000,1.293371,9.842962,None,None,None,1.0
5295000,1.2312144,9.9342575,None,None,None,1.0
5296000,1.2579864,9.928621,None,None,None,1.0
5297000,1.2916182,9.836819,None,None,None,1.0
5298000,1.2670575,9.906343,None,None,None,1.0
5299000,1.2866787,9.925427,None,None,None,1.0
5300000,1.3117571,9.8843355,None,None,None,1.0
