Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
106000,2.8612983,332.6666666666667,1.5475048,3.8082314,183.16155354181925,183.16155354181925,48.60393206278483,1.0
107000,2.8580773,399.0,1.839409,2.5121222,336.6925964355469,336.6925964355469,51.22412363688151,1.0
108000,2.8629138,270.5,1.9530871,4.1053095,154.24570551514626,154.24570551514626,47.371397495269775,1.0
109000,2.8626533,399.0,2.0885806,2.9702048,137.94684600830078,137.94684600830078,91.71477508544922,1.0
110000,2.86127,342.3333333333333,1.3612331,3.645358,126.4554894765218,126.4554894765218,45.66208012898763,1.0
111000,2.8521707,350.76190476190476,1.4437804,4.540174,168.06929524739584,168.06929524739584,90.44104321797688,1.0
112000,2.852364,None,2.0075934,4.022551,142.25228563944498,142.25228563944498,101.42693090438843,1.0
113000,2.849818,399.0,1.9910389,4.9802766,218.7078399658203,218.7078399658203,58.57375971476237,1.0
114000,2.850894,None,1.9324056,4.681093,264.8523712158203,264.8523712158203,92.86357116699219,1.0
115000,2.8492303,340.5,1.6234239,4.670899,309.2727551460266,309.2727551460266,44.12380599975586,1.0
116000,2.837175,399.0,1.6929929,4.459154,115.8671041727066,115.8671041727066,75.09576988220215,1.0
117000,2.8382752,None,2.0283651,5.946521,360.8921356201172,360.8921356201172,27.960338592529297,1.0
118000,2.842079,399.0,1.7406396,4.0876865,280.4573262532552,280.4573262532552,91.6004524230957,1.0
119000,2.8461277,None,1.9230132,3.9148178,231.58145904541016,231.58145904541016,74.86987686157227,1.0
120000,2.850593,399.0,2.0270903,3.5787468,317.98460896809894,317.98460896809894,110.52945200602214,1.0
121000,2.8521514,399.0,0.12292406,4.7483473,93.84111166000366,93.84111166000366,28.004545211791992,1.0
122000,2.8458822,291.5,2.1930234,4.721698,233.7024221420288,233.7024221420288,85.3621301651001,1.0
123000,2.8441682,346.27272727272725,1.9380593,4.716026,325.51649475097656,325.51649475097656,46.10093561808268,1.0
124000,2.8483152,399.0,1.729589,3.5616639,216.0857925415039,216.0857925415039,82.81116485595703,1.0
125000,2.8515599,None,2.1311963,5.482094,222.24494870503744,222.24494870503744,64.55845832824707,1.0
126000,2.8505886,None,1.7673568,5.18793,307.9510955810547,307.9510955810547,9.78396463394165,1.0
127000,2.850089,399.0,1.9991509,4.8211217,268.7659403483073,268.7659403483073,75.3646977742513,1.0
128000,2.8410947,399.0,2.014871,4.4452863,213.99760309855142,213.99760309855142,23.56822935740153,1.0
129000,2.8430185,None,2.3621368,3.9456677,304.419677734375,304.419677734375,21.844369888305664,1.0
130000,2.8454578,None,2.5284865,4.1323237,324.9175900220871,324.9175900220871,65.4216593503952,1.0
131000,2.8465102,None,2.5887249,4.0435967,459.1312561035156,459.1312561035156,21.174818515777588,1.0
132000,2.8458838,399.0,2.4860694,5.2384663,301.9132080078125,301.9132080078125,101.97525024414062,1.0
133000,2.8449097,399.0,2.8624775,5.7276535,463.8549041748047,463.8549041748047,119.97147560119629,1.0
134000,2.8472815,289.5,2.422842,4.942134,298.93464118242264,298.93464118242264,39.53277000784874,1.0
135000,2.8410249,340.59090909090907,2.0700538,3.2589827,292.4057814280192,292.4057814280192,25.104799270629883,1.0
136000,2.8420317,237.5,3.1767843,5.2450695,333.340825398763,333.340825398763,112.6870829264323,1.0
137000,2.8444586,399.0,3.0373187,4.0356827,243.98797607421875,243.98797607421875,53.85631740093231,1.0
138000,2.8446932,399.0,2.772195,4.3687587,372.7100118001302,372.7100118001302,70.47280248006184,1.0
139000,2.8432379,None,2.8694506,5.1036096,408.18267822265625,408.18267822265625,47.38203716278076,1.0
140000,2.8422902,102.0,2.9875228,4.112326,331.53821992874146,331.53821992874146,31.754726934432984,1.0
141000,2.8441496,16.0,2.6633492,4.790558,286.95241292317706,286.95241292317706,52.21082750956217,1.0
142000,2.8411648,399.0,2.5762527,5.2221074,338.1042938232422,338.1042938232422,40.12294387817383,1.0
143000,2.842917,None,2.7070673,4.427982,322.4377772808075,322.4377772808075,56.75964975357056,1.0
144000,2.8486443,399.0,3.4784439,5.8196135,306.1866645812988,306.1866645812988,87.23818463087082,1.0
145000,2.8528872,399.0,3.1358814,4.58343,532.6109161376953,532.6109161376953,148.16912651062012,1.0
146000,2.8484561,337.0,3.3305674,4.579515,377.54832967122394,377.54832967122394,51.969319661458336,1.0
147000,2.8380787,351.1111111111111,3.1323776,2.7895336,492.10361735026044,492.10361735026044,72.40864817301433,1.0
148000,2.8405552,None,3.2662947,5.291076,277.6919809579849,277.6919809579849,88.48293558756511,1.0
149000,2.840712,399.0,2.9184623,4.8847055,458.7314758300781,458.7314758300781,127.54179382324219,1.0
150000,2.84363,None,3.2302372,5.605562,385.26275634765625,385.26275634765625,95.46315964063008,1.0
151000,2.843841,None,4.188572,2.89961,670.3812561035156,670.3812561035156,62.68375015258789,1.0
152000,2.8400953,None,3.3770266,4.8572206,295.57441824674606,295.57441824674606,39.68023860454559,1.0
153000,2.8416095,399.0,3.337157,4.361176,423.84052022298175,423.84052022298175,77.57055409749348,1.0
154000,2.8417957,399.0,2.9417326,3.7785926,383.1294937133789,383.1294937133789,70.11586999893188,1.0
155000,2.8384573,399.0,3.8142643,5.191633,589.6064046223959,589.6064046223959,69.43217213948567,1.0
156000,2.836155,399.0,4.4177685,6.496871,493.16737365722656,493.16737365722656,81.04516220092773,1.0
157000,2.8306918,399.0,4.4954276,4.7332625,672.889892578125,672.889892578125,67.49511400858562,1.0
158000,2.835893,399.0,3.3448803,4.8924904,453.8529357910156,453.8529357910156,52.49442005157471,1.0
159000,2.8263347,319.60869565217394,4.7485437,5.618053,438.1345558166504,438.1345558166504,72.71351742744446,1.0
160000,2.824998,None,4.9195013,7.7557,412.40018463134766,412.40018463134766,150.95304107666016,1.0
161000,2.8277328,399.0,4.3787456,5.4864535,345.35801696777344,345.35801696777344,76.48409223556519,1.0
162000,2.8263795,None,5.9043083,4.8022456,662.1758728027344,662.1758728027344,64.98871088027954,1.0
163000,2.8312209,None,4.755053,5.3415084,380.4587287902832,380.4587287902832,88.95676803588867,1.0
164000,2.8340337,None,4.9527144,4.801982,649.9700622558594,649.9700622558594,63.059378147125244,1.0
165000,2.8289404,399.0,4.5996614,5.6052837,290.1540107727051,290.1540107727051,36.6701397895813,1.0
166000,2.828509,399.0,4.3171535,4.9089355,456.8912124633789,456.8912124633789,87.56355667114258,1.0
167000,2.8304117,399.0,4.3364835,5.3272963,559.2632904052734,559.2632904052734,16.242205262184143,1.0
168000,2.8187714,399.0,5.3428273,3.7741635,765.2607625325521,765.2607625325521,36.12338383992513,1.0
169000,2.8174748,399.0,5.011717,5.928673,604.386962890625,604.386962890625,51.82399559020996,1.0
170000,2.832213,399.0,4.535488,3.754836,640.1414693196615,640.1414693196615,80.00979487101237,1.0
171000,2.8114035,338.0952380952381,4.0790687,5.6009107,622.1061706542969,622.1061706542969,71.23055648803711,1.0
172000,2.8016214,72.0,6.07781,5.8174543,313.9377868652344,313.9377868652344,51.629998970031735,1.0
173000,2.799467,95.0,6.6875706,6.1114764,573.8248291015625,573.8248291015625,98.31531016031902,1.0
174000,2.7946904,399.0,6.708107,6.9518175,590.0732421875,590.0732421875,87.57745361328125,1.0
175000,2.7913136,None,6.4235325,4.5152974,641.0741373697916,641.0741373697916,36.14588228861491,1.0
176000,2.7928097,None,5.9423437,4.181634,620.8475036621094,620.8475036621094,73.32247543334961,1.0
177000,2.7961988,None,6.79874,4.7662597,405.4381467103958,405.4381467103958,28.971765518188477,1.0
178000,2.8125746,399.0,4.7928324,5.527902,251.48368057608604,251.48368057608604,49.454180121421814,1.0
179000,2.8034172,399.0,6.530943,6.047756,655.8831787109375,655.8831787109375,151.2468490600586,1.0
180000,2.8247604,399.0,6.806832,4.0519767,808.9751180013021,808.9751180013021,62.28799947102865,1.0
181000,2.8189359,293.3333333333333,7.7163353,5.0837536,507.04654693603516,507.04654693603516,30.16044807434082,1.0
182000,2.8240135,399.0,6.9142494,7.924553,684.6849670410156,684.6849670410156,76.56360244750977,1.0
183000,2.8044474,356.45454545454544,5.279994,5.619461,445.48968505859375,445.48968505859375,99.30074564615886,1.0
184000,2.7910879,399.0,8.009855,7.1729393,557.8809407552084,557.8809407552084,113.50723775227864,1.0
185000,2.789411,215.5,6.420883,5.4694653,644.3285522460938,644.3285522460938,85.4115219116211,1.0
186000,2.793519,244.5,9.566199,5.364137,513.8552500406901,513.8552500406901,35.108603159586586,1.0
187000,2.786746,None,5.6979003,5.0167904,517.8611857096354,517.8611857096354,42.380956172943115,1.0
188000,2.7877133,None,9.034933,5.4858413,559.5990506410599,559.5990506410599,44.26832127571106,1.0
189000,2.8038738,None,9.629421,4.691223,761.08642578125,761.08642578125,20.898106575012207,1.0
190000,2.8134203,399.0,8.568004,4.499407,843.7036539713541,843.7036539713541,74.57497151692708,1.0
191000,2.8132586,None,8.3732605,6.1297364,560.8683535257975,560.8683535257975,83.70992024739583,1.0
192000,2.8108127,399.0,7.1935186,6.24021,581.2473793029785,581.2473793029785,88.55326271057129,1.0
193000,2.8164072,295.0,8.367192,6.793524,563.2179018656412,563.2179018656412,50.219215393066406,1.0
194000,2.813511,399.0,11.253581,5.582568,810.1117553710938,810.1117553710938,36.72765350341797,1.0
195000,2.815375,329.6666666666667,7.0644646,5.0785522,603.5407511393229,603.5407511393229,30.835641860961914,1.0
196000,2.7978497,340.1904761904762,8.859466,6.0316963,733.9639485677084,733.9639485677084,175.29218037923178,1.0
197000,2.8001006,None,12.586399,5.3708444,719.3265380859375,719.3265380859375,27.601037979125977,1.0
198000,2.8001518,399.0,8.865966,5.471116,326.42853224277496,326.42853224277496,61.84548067674041,1.0
199000,2.7991574,None,9.21309,6.8963294,708.9675089518229,708.9675089518229,77.32122802734375,1.0
200000,2.7885754,399.0,5.8217144,5.606665,438.5833791097005,438.5833791097005,37.27859512964884,1.0
201000,2.7911427,399.0,9.474235,5.11422,720.9639078776041,720.9639078776041,47.94207191467285,1.0
202000,2.7997043,399.0,8.77933,5.6675096,537.7427253723145,537.7427253723145,29.077004114786785,1.0
203000,2.793863,None,11.296631,7.2178183,782.8751220703125,782.8751220703125,170.9784393310547,1.0
204000,2.7902308,399.0,8.727436,7.8503814,629.3621622721354,629.3621622721354,130.86981201171875,1.0
205000,2.782321,399.0,7.7447987,4.469298,754.129150390625,754.129150390625,22.544382095336914,1.0
206000,2.7964187,399.0,7.1345067,5.9078326,709.5592041015625,709.5592041015625,104.67735926310222,1.0
207000,2.799352,399.0,10.329451,6.24094,757.7521667480469,757.7521667480469,71.15200424194336,1.0
208000,2.7795045,366.8636363636364,10.825616,5.55874,885.755126953125,885.755126953125,78.70697625478108,1.0
209000,2.7841065,None,11.159992,8.046974,847.1124572753906,847.1124572753906,116.6638412475586,1.0
210000,2.789343,399.0,8.76836,6.9901667,345.25078563690187,345.25078563690187,38.02632465362549,1.0
211000,2.7917054,None,8.62701,6.7988706,832.5996398925781,832.5996398925781,82.16738319396973,1.0
212000,2.7965298,None,15.959053,5.5734305,809.2569376627604,809.2569376627604,53.036398569742836,1.0
213000,2.8014293,399.0,10.953036,6.8701477,773.2046508789062,773.2046508789062,64.60668182373047,1.0
214000,2.7901082,None,9.90398,4.7218976,654.9418640136719,654.9418640136719,27.428521672884624,1.0
215000,2.797729,None,9.450987,5.727253,751.6571655273438,751.6571655273438,39.73537540435791,1.0
216000,2.7985923,399.0,14.276787,5.2382603,824.5460815429688,824.5460815429688,37.405232747395836,1.0
217000,2.7971568,309.0,12.369186,6.174227,664.6941426595052,664.6941426595052,65.64219919840495,1.0
218000,2.7806454,399.0,11.621983,6.5206738,570.6927795410156,570.6927795410156,18.250246047973633,1.0
219000,2.7753994,399.0,10.983584,7.8850837,756.63232421875,756.63232421875,153.25883992513022,1.0
220000,2.7758672,349.2,11.366498,6.2607455,795.1073608398438,795.1073608398438,61.43355417251587,1.0
221000,2.7633798,None,12.202077,7.0434394,565.0206481933594,565.0206481933594,34.88649940490723,1.0
222000,2.76444,None,13.04299,7.0683126,880.43310546875,880.43310546875,54.53168869018555,1.0
223000,2.7757246,None,12.469089,7.7412715,825.7804768880209,825.7804768880209,94.20751317342122,1.0
224000,2.769363,372.0,13.567045,10.139626,638.5953369140625,638.5953369140625,58.85591697692871,1.0
225000,2.7617788,None,16.403908,6.0839043,896.9277750651041,896.9277750651041,69.22969563802083,1.0
226000,2.7729,None,9.826937,6.176052,812.1737976074219,812.1737976074219,42.194820404052734,1.0
227000,2.7600973,399.0,11.179652,6.1546397,312.44039217631024,312.44039217631024,35.91660944620768,1.0
228000,2.7828531,399.0,14.80296,7.954466,769.6903076171875,769.6903076171875,176.81023025512695,1.0
229000,2.781701,399.0,9.97541,6.0144253,846.6863098144531,846.6863098144531,130.1833267211914,1.0
230000,2.7883656,347.0,11.829811,5.139479,611.1410737037659,611.1410737037659,19.12200673421224,1.0
231000,2.7883294,262.75,8.928258,6.99805,439.23903569579124,439.23903569579124,68.6783504486084,1.0
232000,2.7788048,365.77272727272725,16.429235,6.9825616,888.3225301106771,888.3225301106771,74.43955993652344,1.0
233000,None,399.0,14.018023,5.656185,949.5010986328125,949.5010986328125,32.727253913879395,1.0
234000,2.772855,None,14.763058,5.65463,928.6825358072916,928.6825358072916,50.538692474365234,1.0
235000,2.7854552,None,11.919132,6.0329523,807.4183044433594,807.4183044433594,28.680822491645813,1.0
236000,2.7793167,399.0,12.144732,6.1810603,669.3961031734943,669.3961031734943,51.19293832778931,1.0
237000,2.7868826,None,13.78825,8.474164,740.6834716796875,740.6834716796875,110.85916900634766,1.0
238000,2.781531,None,12.922366,9.602652,510.3561833699544,510.3561833699544,78.40364774068196,1.0
239000,2.7688732,None,17.098207,5.0054164,937.704345703125,937.704345703125,43.40678278605143,1.0
240000,2.7732737,None,14.923655,6.996317,873.0988159179688,873.0988159179688,94.39404678344727,1.0
241000,2.7748168,399.0,18.56784,7.3633456,881.3111775716146,881.3111775716146,50.91024939219157,1.0
242000,2.7697022,399.0,13.154426,7.795907,836.8017578125,836.8017578125,81.64704895019531,1.0
243000,2.7712352,316.25,12.960706,5.8380203,657.1451873779297,657.1451873779297,39.95965766906738,1.0
244000,2.7864766,399.0,14.7126255,9.84383,1005.406982421875,1005.406982421875,137.15476417541504,1.0
245000,2.759684,381.1904761904762,13.491348,7.804975,1006.5319010416666,1006.5319010416666,80.54007975260417,1.0
246000,2.7630568,399.0,11.006402,7.8309226,910.6919860839844,910.6919860839844,133.81175231933594,1.0
247000,2.7615917,None,16.5162,6.6693854,622.2338609695435,622.2338609695435,28.23350977897644,1.0
248000,2.7631335,None,14.21971,6.701969,885.1012573242188,885.1012573242188,73.91054344177246,1.0
249000,2.7590582,None,15.120706,8.62622,956.0076904296875,956.0076904296875,36.68416976928711,1.0
250000,2.7599585,399.0,17.070995,7.01799,946.4812622070312,946.4812622070312,39.61934781074524,1.0
251000,2.7521002,None,17.212439,7.5430007,1093.9650472005208,1093.9650472005208,61.95274988810221,1.0
252000,2.7461412,None,14.353624,8.788893,866.657470703125,866.657470703125,88.09028244018555,1.0
253000,2.7600603,399.0,18.895311,7.507496,890.5467122395834,890.5467122395834,80.23676983515422,1.0
254000,2.7672634,266.0,19.175753,7.708262,734.6727464993795,734.6727464993795,28.65813108285268,1.0
255000,2.768151,399.0,15.642261,7.852529,808.9510498046875,808.9510498046875,38.60887463887533,1.0
256000,2.7518935,399.0,22.052902,5.6350603,987.6633911132812,987.6633911132812,32.583635330200195,1.0
257000,2.7419991,334.95238095238096,12.769525,9.376604,449.7278878688812,449.7278878688812,52.842649936676025,1.0
258000,2.7212663,399.0,18.428446,8.512371,917.1841430664062,917.1841430664062,62.249430338541664,1.0
259000,2.7360044,399.0,18.145912,8.126568,897.3009643554688,897.3009643554688,89.85846710205078,1.0
260000,2.7249012,8.0,18.070213,8.684335,735.7489204406738,735.7489204406738,46.697544157505035,1.0
261000,2.729615,None,24.974499,7.5594826,1117.6695556640625,1117.6695556640625,84.83824157714844,1.0
262000,2.7258053,399.0,26.021942,4.535535,1114.9215494791667,1114.9215494791667,26.197868982950848,1.0
263000,2.7247472,None,13.03046,6.4531016,630.946065624555,630.946065624555,58.480564753214516,1.0
